115	265	2	881171488
62	257	2	879372434
200	222	5	876042340
224	29	3	888104457
299	144	4	877881320
291	118	2	874833878
95	546	2	879196566
160	234	5	876861185
246	201	5	884921594
249	241	5	879641194
99	4	5	886519097
25	181	5	885853415
72	679	2	880037164
292	515	4	881103977
13	526	3	882141053
167	232	1	892738341
127	229	5	884364867
299	229	3	878192429
276	54	3	874791025
291	144	5	874835091
42	403	3	881108684
87	1016	4	879876194
62	498	4	879373848
293	685	3	888905170
216	144	4	880234639
166	328	5	886397722
160	174	5	876860807
265	118	4	875320714
198	498	3	884207492
42	96	5	881107178
58	144	4	884304936
62	21	3	879373460
44	195	5	878347874
194	385	2	879524643
72	195	5	880037702
41	265	3	890687042
224	245	3	888082216
84	405	3	883452363
259	117	4	874724988
213	273	5	878870987
155	323	2	879371261
68	117	4	876973939
172	177	4	875537965
19	4	4	885412840
268	231	4	875744136
5	2	3	875636053
305	117	2	886324028
254	164	4	886472768
298	281	3	884183336
66	298	4	883601324
99	79	4	885680138
7	455	4	891353086
222	755	4	878183481
119	328	4	876923913
213	172	5	878955442
38	328	4	892428688
26	930	2	891385985
256	452	4	882164999
56	755	3	892910207
15	405	2	879455957
292	174	5	881105481
251	748	2	886272175
125	235	2	892838559
97	228	5	884238860
83	234	4	887665548
194	181	3	879521396
269	127	4	891446165
91	323	2	891438397
87	554	4	879875940
229	328	1	891632142
178	568	4	882826555
92	172	4	875653271
36	339	5	882157581
28	201	3	881961671
279	68	4	875307407
194	54	3	879525876
268	930	2	875742942
268	2	2	875744173
214	334	3	891542540
268	145	1	875744501
83	576	4	880308755
193	96	1	889124507
219	82	1	889452455
119	222	5	874775311
158	177	4	880134407
222	118	4	877563802
301	79	5	882076403
23	385	4	874786462
42	546	3	881105817
301	554	3	882078830
270	452	4	876956264
101	829	3	877136138
1	33	4	878542699
94	343	4	891725009
23	323	2	874784266
301	227	3	882077222
82	183	3	878769848
133	751	3	890588547
276	2	4	874792436
240	879	3	885775745
294	271	5	889241426
92	229	3	875656201
200	96	5	884129409
275	597	3	876197678
272	1393	2	879454663
43	323	3	875975110
197	96	5	891409839
94	265	4	891721889
268	62	3	875310824
104	117	2	888465972
275	405	2	876197645
52	250	3	882922661
13	186	4	890704999
263	176	5	891299752
244	186	3	880605697
279	1181	4	875314001
109	631	3	880579371
249	188	4	879641067
213	173	5	878955442
13	498	4	882139901
5	17	4	875636198
213	515	4	878870518
291	80	4	875086354
216	228	3	880245642
213	176	4	878956338
137	144	5	881433689
111	328	4	891679939
187	210	4	879465242
214	568	4	892668197
303	252	3	879544791
72	1110	3	880037334
116	350	3	886977926
70	431	3	884150257
290	50	5	880473582
189	526	4	893266205
184	187	4	889909024
13	229	4	882397650
8	550	3	879362356
307	174	4	879283480
256	849	2	882164603
72	54	3	880036854
94	184	2	891720862
94	720	1	891723593
254	229	4	886474580
151	176	2	879524293
193	879	3	889123257
234	187	4	892079140
230	680	4	880484286
244	265	4	880606634
21	222	2	874951382
231	181	4	888605273
301	33	4	882078228
56	121	5	892679480
217	597	4	889070087
269	22	1	891448072
56	546	3	892679460
279	399	4	875313859
269	234	1	891449406
298	181	4	884125629
78	323	1	879633567
245	181	4	888513664
244	17	2	880607205
62	1016	4	879373008
306	235	4	876504354
280	631	5	891700751
13	809	4	882397582
280	540	3	891702304
97	222	5	884238887
109	127	2	880563471
256	127	4	882164406
213	235	1	878955115
246	665	4	884922831
22	128	5	878887983
8	22	5	879362183
276	188	4	874792547
222	173	5	878183043
308	295	3	887741461
181	121	4	878962623
263	96	4	891298336
134	323	4	891732335
279	586	4	892864663
22	80	4	878887227
223	328	3	891548959
268	147	4	876514002
274	405	4	878945840
290	161	4	880474293
92	515	4	875640800
56	449	5	892679308
248	234	4	884534968
308	187	5	887738760
263	568	4	891299387
295	39	4	879518279
158	665	2	880134532
82	597	3	878768882
276	181	5	874786488
217	2	3	889069782
267	121	3	878970681
125	80	4	892838865
291	686	5	874835165
268	21	3	875742822
262	28	3	879792220
29	245	3	882820803
141	245	3	884584426
235	230	4	889655162
77	172	3	884752562
186	566	5	879023663
62	68	1	879374969
87	82	5	879875774
44	449	5	883613334
194	172	3	879521474
94	62	3	891722933
90	22	4	891384357
92	121	5	875640679
244	550	1	880602264
181	405	4	878962919
65	806	4	879216529
37	540	2	880916070
244	183	4	880606043
1	265	4	878542441
94	572	3	891723883
254	121	3	886472369
62	665	2	879376483
178	385	4	882826982
191	751	3	891560753
59	92	5	888204997
173	328	5	877557028
95	233	4	879196354
59	323	4	888206809
79	50	4	891271545
303	161	5	879468547
255	1034	1	883217030
286	298	4	875807004
36	748	4	882157285
102	515	1	888801316
25	222	4	885852817
190	977	2	891042938
11	227	3	891905896
150	181	5	878746685
126	245	3	887854726
181	930	1	878963275
109	566	4	880578814
275	186	3	880314383
195	273	4	878019342
